asis_id,name,lane,type,grade,tobe_id,tobe_lane,role,human_effort_factor
w1,File evaluation request,TCB business team,start,full,w1_ai,AI Agent,ai,0.0
w2,Check applicant company's basic information,TCB business team,task,manual,w2_m,TCB business team,human,1.0
w3,Email upload link for document submission,TCB business team,task,full,w3_ai,AI Agent,ai,0.0
w4,Collect financial statements and documents,system,task,full,w4_ai,AI Agent,ai,0.0
w5,Upload company profile and product catalog,TCB business team,task,manual,w5_m,TCB business team,human,1.0
w6,Fill in technology summary sheet,TCB business team,task,partial,w6_ai,AI Agent,ai,0.0
w6,Fill in technology summary sheet,TCB business team,task,partial,w6_review,TCB business team,human,0.3
w7,Assign on-site or phone inspector,ECN,task,partial,w7_ai,AI Agent,ai,0.0
w7,Assign on-site or phone inspector,ECN,task,partial,w7_review,ECN,human,0.3
w8,Collect missing documents,inspector,task,manual,w8_m,inspector,human,1.0
w9,Write and upload inspection report,inspector,task,partial,w9_ai,AI Agent,ai,0.0
w9,Write and upload inspection report,inspector,task,partial,w9_review,inspector,human,0.3
w10,Assign evaluator,system,task,full,w10_ai,AI Agent,ai,0.0
w11,Check application information and documents,evaluator,task,partial,w11_ai,AI Agent,ai,0.0
w11,Check application information and documents,evaluator,task,partial,w11_review,evaluator,human,0.3
w12,Issue supplementary request,evaluator,decision,partial,w12_ai,AI Agent,ai,0.0
w12,Issue supplementary request,evaluator,decision,partial,w12_review,evaluator,human,0.3
w13,Start investigation after consent,evaluator,task,manual,w13_m,evaluator,human,1.0
w14,Enter company profile,evaluation support team,task,full,w14_ai,AI Agent,ai,0.0
w15,Confirm company profile,evaluation team,task,partial,w15_ai,AI Agent,ai,0.0
w15,Confirm company profile,evaluation team,task,partial,w15_review,evaluation team,human,0.3
w16,Pull data from corporate registry,system,task,full,w16_ai,AI Agent,ai,0.0
w17,Check previous technology grade,evaluator,task,manual,w17_m,evaluator,human,1.0
w18,Assess quality of inspection materials,evaluator,task,partial,w18_ai,AI Agent,ai,0.0
w18,Assess quality of inspection materials,evaluator,task,partial,w18_review,evaluator,human,0.3
w19,Request re-inspection,evaluator,decision,partial,w19_ai,AI Agent,ai,0.0
w19,Request re-inspection,evaluator,decision,partial,w19_review,evaluator,human,0.3
w20,Carry over company information,evaluator,task,full,w20_ai,AI Agent,ai,0.0
w21,Confirm technology-evaluation target industry,evaluator,task,partial,w21_ai,AI Agent,ai,0.0
w21,Confirm technology-evaluation target industry,evaluator,task,partial,w21_review,evaluator,human,0.3
w22,Search and select industrial-technology classification,evaluator,task,partial,w22_ai,AI Agent,ai,0.0
w22,Search and select industrial-technology classification,evaluator,task,partial,w22_review,evaluator,human,0.3
w23,Choose new-growth items and climate-technology classification,evaluator,task,partial,w23_ai,AI Agent,ai,0.0
w23,Choose new-growth items and climate-technology classification,evaluator,task,partial,w23_review,evaluator,human,0.3
w24,Update financial information manually,evaluator,task,manual,w24_m,evaluator,human,1.0
w25,Write up main business areas and products,evaluator,task,partial,w25_ai,AI Agent,ai,0.0
w25,Write up main business areas and products,evaluator,task,partial,w25_review,evaluator,human,0.3
w26,Pull representative patents from KIPRIS,system,task,full,w26_ai,AI Agent,ai,0.0
w27,Select patents and read published full text,evaluator,task,partial,w27_ai,AI Agent,ai,0.0
w27,Select patents and read published full text,evaluator,task,partial,w27_review,evaluator,human,0.3
w28,Enter supporting basis for patents,evaluator,task,partial,w28_ai,AI Agent,ai,0.0
w28,Enter supporting basis for patents,evaluator,task,partial,w28_review,evaluator,human,0.3
w29,Generate draft technology-evaluation opinion,system,task,full,w29_ai,AI Agent,ai,0.0
w30,Check on-site technology inspection items,evaluator,task,partial,w30_ai,AI Agent,ai,0.0
w30,Check on-site technology inspection items,evaluator,task,partial,w30_review,evaluator,human,0.3
w31,Produce rule-based score,system,task,full,w31_ai,AI Agent,ai,0.0
w32,Auto-generate opinions via guidance,system,task,full,w32_ai,AI Agent,ai,0.0
w33,Judge and select inspection items,evaluator,task,partial,w33_ai,AI Agent,ai,0.0
w33,Judge and select inspection items,evaluator,task,partial,w33_review,evaluator,human,0.3
w34,Save evaluation results,evaluator,task,full,w34_ai,AI Agent,ai,0.0
w35,Generate technology opinion,system,task,full,w35_ai,AI Agent,ai,0.0
w36,Review and edit technology opinion,evaluator,task,partial,w36_ai,AI Agent,ai,0.0
w36,Review and edit technology opinion,evaluator,task,partial,w36_review,evaluator,human,0.3
w37,Copy-paste market opinion,evaluator,task,partial,w37_ai,AI Agent,ai,0.0
w37,Copy-paste market opinion,evaluator,task,partial,w37_review,evaluator,human,0.3
